NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210061634634,2023,1,F,1,3,1,3,0,1,,1,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,406.0,386.6,438.4,405.9,EBBBBCAECADDDAEDEDBCEBCAABADBCCABEDCEDABBBAAE,ACCECDBDEBCDDDACABBEACDDCBDADBBBEBEACDDDAEAAA,CEBBBCDCCAEBEBDACAAADEABBEEECEEEADECBAEBEDADD,DDCEBDADECDCACCBEABBDEEEBEDCECADCDACCABEACBDC,1,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,100,120,100,120,60,500,H,C,F,B,3,B,A,B,C,A,A,B,B,B,B,B,A,A,D,A,B,D,A,B,B
210061654748,2023,6,F,1,3,1,1,4,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,C,C,B,B,4,C,A,B,C,B,A,B,B,A,A,B,A,A,B,A,A,D,A,A,B
210061947954,2023,3,M,1,3,1,2,0,2,1,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1222,1191,1201,1212,525.2,497.0,533.8,384.8,DEDAEAEAEACCDBAACABCEDADCBDCBEECEBEAABCCBECCA,DDADAAEDECBAAADCCADAACCDDCCBCACEEBBDACACBBADB,CAEEECACAEDCCDDACDDADDBECBDCBABBBBACCAABCEAAB,EEDBABCCCDECDBEABBADDDDDBC.DBCACACDCDDBCEDBCB,1,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1,120,120,100,100,0,440,B,C,C,B,3,E,A,C,C,B,A,B,A,B,A,B,A,B,C,A,A,D,A,A,B
210061284141,2023,2,F,1,1,1,2,0,2,1,0,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1221,1193,1204,1211,523.5,482.6,484.0,483.6,DBDACDECCCCBEDEADDADDBABDADCBBEEBBECCEADCAEBD,ECEBEBDBBCBCCCCCCCCADCDBCBDEDCBBBAEADDADEDDAE,CBABCCBEDECACDBECACCDBAEBECBCDCDAEDBEEBBBCCDE,DDCCBEADCBACBDDBCEEEDBABADCDDEAEDCDACBEDBEEDC,0,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1,160,160,140,160,180,800,E,E,C,B,4,D,B,B,D,B,A,B,B,B,A,B,A,B,C,A,A,E,A,B,B
210061380643,2023,1,F,1,3,1,3,0,1,,1,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1224,1192,1202,1214,431.0,301.8,542.9,470.0,EDBBBACADEBABEDCEECCEDCBACBDECEBAABCDECCCDDAE,....E...BB.......A.C...........E.CD..........,ACAEACBCAEDAAEBBACBABACEDAAEBEBECECCADCBDAEBE,CDEADADEBADDDACEDEBABBCBDACCCDEBCDBBCEDCBDDBB,1,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1,140,120,160,160,100,680,C,E,C,C,5,G,A,B,D,B,A,B,B,A,A,A,A,A,C,B,A,E,B,A,B
210061507060,2023,12,M,2,3,1,1,16,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1222,1191,1201,1212,562.8,586.2,548.6,401.7,CBDCEEEAADCDBBBDBCDEBCCDCBDAEBAADBDABBCCBCEBB,CAAACAABAACEAAEECBDEABCCCCBADCDDEBEEBAEEEAEDD,BBCAACECEEDDBDBADCDDDCDEAEEEEACDAAAADBBBBEBAD,BBAEEBDCCAEEDEADBDACECBCCCCCACAAADADDEECADBCC,1,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1,80,40,40,80,40,280,B,A,B,B,3,F,A,B,B,A,A,B,B,A,A,B,A,B,B,A,A,C,A,B,B
210061570373,2023,1,F,1,1,1,3,0,1,,1,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,F,F,D,D,5,J,A,B,C,C,A,B,A,B,A,B,A,A,C,A,B,E,A,A,B
210061735721,2023,3,M,1,3,1,1,1,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,E,E,C,B,3,D,A,B,C,A,A,B,B,B,A,B,A,A,B,A,B,D,A,A,B
210060112764,2023,6,F,1,3,1,1,2,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1222,1191,1201,1212,443.5,505.0,524.6,401.4,DECEECBAACCBECCDABEBACABDAAACCDEDBDBDCAABACBE,AEBDBCDBCACAAEDECBDBADCDCDDEDCCECACDCAABDECCB,BDCABDACEEDACEBBDBADAABEADABCACBBDBAEBBEBEAAB,CCDDCCBAACCACBEBDBBDCBADBDECCDDAADCEDECADDBCE,0,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1,120,120,100,120,100,560,D,E,B,B,2,B,A,B,B,A,A,B,B,A,A,A,A,A,B,A,A,C,A,A,B
210061826670,2023,2,F,1,1,1,2,0,2,1,0,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1223,1194,1203,1213,531.0,540.7,530.3,388.9,CADCCECDCBCBCCDDDCDBBCACEBCEDABCCCEBDBBDBCCEC,AECCCCDEBDAEACEDDAEBDDEEBEDEAADBCADEBCAABBABE,ECCDEAADCBBEACDBBBDDAEBBADCBEDCBBDABBAEDAAABC,BBEDECBBDCBBBBCCCCECCEBBCBBBACDCBDEECBBCCCBAA,1,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,1,120,120,100,120,80,540,E,E,C,B,3,B,A,B,C,B,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B
210062031896,2023,11,M,1,3,1,1,5,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1223,1194,1203,1213,499.9,555.8,572.4,504.3,CBDACDAAEDAEABBCABADCDBCACAEBADCBBCBADEEEEBBA,ABCECEEBCDCEACABDACAEBAEDACBBADBCABEBEDCDAADE,BDBBAAABBBEEACCBAAEAEEBAAECBEDCDCDCDBAEBDACBC,ECDBECDADADBECAAEDDBDDACECACACBCAACCBEABCBBDE,0,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,1,120,120,120,120,60,540,C,B,C,B,4,E,A,B,C,B,A,B,A,B,A,A,A,A,B,A,A,C,B,A,B
210060030615,2023,13,F,1,3,1,1,0,1,,0,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1224,1192,1202,1214,432.1,522.1,409.1,412.3,AEBBDBBCCABDBCEECADCDCCDBDBCEACDDABECAEDACEAA,DBADDEADECBCAEBDEDCBACAEAEBCADCBEAAEBCCDAAACE,CAADAABEABACECCDACBBBEBECDDBBCBEBEACEDABECEBC,BEDAEEDCCBEAADDECBEAABCEACBECABECDCCDCEADBDAD,1,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1,120,140,100,100,100,560,C,C,F,F,4,B,A,B,B,A,A,A,A,A,A,A,A,A,B,A,A,C,A,B,B
