NU_SEQUENCIAL,NU_ANO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO
945171,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1422,1384,1396,1410,438.7,477.2,554.9,503.7,CEBEBADEABDBECDADECEACBCCBBDDCBECEACDABBDAEBD,BAEABBDACCBBAEDBACDCECDABBACEBEEDADABCDACCBDA,DDDCACDDECBBDDCEBDEDABBEDDAAEDECEBDECACECBDAC,EDAEBDBDEBDECDDDEDADCABDBEBBBACBBAECBDECBEDDB,1,BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD,DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA,AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC,DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD,1,140,140,140,160,100,680
3448200,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1422,1384,1396,1410,514.5,634.4,563.4,421.6,DCAECDDDEABECEDCDDCEAECCCBDDCBBEAECBCBCDDADAA,AADCBCDCECBDEDBBEBEDBADAAAAADEECEACEEBCAECEDA,DCCAEEABECBBDAEEBDBEBCAEDEADDDAEEBDEEEEECEDDC,BAABDCCDABDAECBECDDACDDEEEDEACECDACDDBDABCC*A,1,BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD,DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA,AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC,DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD,1,80,100,80,80,80,420
1991333,2024,35007122,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1420,1383,1395,1408,487.9,498.9,506.2,441.9,EAEBCECBEEEBDAAEACECCECEDDEDEEBAADDAAEDEDADCB,AEBECDADABADBABDBBCDDBBCCEADABEAEBADECEDCBECB,ADDCCBCEEEBCDAAAECBDABDDCEDCEACBDADDCAECADEEA,DABAECDCBCCBDDBAABEBDCBEDEDCBCCCDBDDBDCAEDECE,1,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1,140,180,140,160,120,740
1449005,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1419,1385,1398,1407,405.9,376.8,386.4,537.0,DEEDCABDBDBAAEEDCBCEBBAAEDADDDCEDBEAEDBBDE*DD,BDCBDBEDBDDBEBBDECACDEEACAEACDEBDAAACAABBECDB,CAABECADCECCBDDEEBCADBDDB*CEDDEBEBCEAADDAEEED,DAAAAADEECEBDBCDECCCAEDBBEBACABCACDBEEECADEBC,1,BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED,CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD,EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB,ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE,1,120,120,120,120,60,540
1922102,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,
2075019,2024,35006981,3552502,Suzano,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1422,1384,1396,1410,435.9,374.7,512.0,408.0,BEBBCAADABBBEBDBBDCBBCEBEBBEBBEBDBABBDDBABDDB,BCBEEBBAEABCABBBCECBDACAECBEBBAACAEBBADEDBBAE,BCAAABBDECBBDACEBAABACBBBCDBBBBCEBDBDBBECABAE,CBDBBAADBDABBBCAECCBBBEDBBEBDBBEBAEEEBBCBBBEA,1,BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD,DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA,AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC,DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD,1,80,100,80,80,0,340
3950377,2024,35912300,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,
2373733,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1421,1386,1397,1409,511.9,445.5,505.6,423.2,DCDEBDBBDBAEDCEDEDACDDCACCDDBDBADDBEDBBBCEDEB,AACDDCEAABDBCCEAABCDADCDDDBEEBDBDCBDADCEBCEDB,DAACEDBEBBDECBDDBDABDBCBDCEDDBBBABCECDDAEBECA,CDEDCBBBDDCBDCADDBCCCDDCDBACECAEDEDBAEDBBDCBB,0,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1,120,160,120,120,120,640
91892,2024,,,,,,,,,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1420,1383,1395,1408,454.2,519.3,477.2,395.4,DEEABADE*EDBBDBDEACCDAEEBDDBECCBACCDEEEBEBDCC,DABDBDACCBDDDEECAECCCABCADABEAABBEADEADD.DAAC,CAADCECEECBAECBBBBBBABDCBBEADDCBDACCCBBBEECEC,DACEEC*DBCBBCABBBEED..BDCCEECDD.DCDEBADEBCDBB,1,CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB,CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC,CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB,CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE,1,100,40,40,40,40,260
215431,2024,35007286,3523107,Itaquaquecetuba,35,SP,2,1,1,3523107,Itaquaquecetuba,35,SP,1,1,1,1,1421,1386,1397,1409,561.4,580.1,544.2,525.6,DABADDEDCABDECBABEDCACDABCACCDBCEBEEAECDCECEE,ABBAAC.ECBAECEDAABEDADAEBDDBBCCEABCACEEABCBCE,AACBECBEDADEEBEEBDBBCBECEACABEEDCDBECCACBBECA,DBCECAACDEDDBDACBEDABECEADCBCCDADCDEDACBDCDCB,0,DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED,ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE,AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE,CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB,1,160,200,180,200,180,920
