NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023
210062110803,2024,4,F,1,3,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,D,D,C,D,3,A,E,A,C,C,C,A,B,A,B,B,B,C,A,B,B,D,A
210062111533,2024,2,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,E,F,F,4,A,E,A,C,C,B,A,B,A,A,A,B,C,A,B,B,D,A
210062112173,2024,11,F,1,3,1,1,0,,0,3523107,Itaquaquecetuba,35,SP,D,E,C,C,1,A,A,A,B,B,A,A,B,A,A,B,A,B,A,B,A,B,A
210062112369,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,C,C,F,4,A,G,A,C,C,A,A,B,A,B,B,A,C,A,B,B,D,A
210062113583,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,F,F,B,4,A,D,A,B,C,B,A,B,B,B,B,A,B,A,B,A,C,A
210062114349,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,A,E,C,B,4,A,B,A,B,B,A,A,B,A,A,A,A,B,A,A,A,B,A
210062114621,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,B,C,B,3,B,B,A,C,C,A,A,B,A,B,B,B,B,A,B,A,D,A
210062115343,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,E,C,D,4,A,L,A,B,C,B,A,C,A,B,B,A,A,A,B,B,E,A
210062116761,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,E,F,C,7,A,D,A,B,A,B,A,B,A,A,A,A,B,A,B,A,C,A
210062117578,2024,11,M,1,1,1,1,11,,0,3523107,Itaquaquecetuba,35,SP,H,F,F,B,2,A,D,A,B,B,A,A,B,A,B,A,A,B,A,B,B,C,E
210062118139,2024,3,M,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,B,B,5,A,J,A,C,C,B,B,B,B,B,B,B,C,B,B,B,E,A
210062118197,2024,2,F,1,1,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,H,C,F,F,3,A,B,A,B,C,A,A,B,A,B,B,A,C,A,B,A,D,A
210062118816,2024,12,F,2,1,1,2,0,,0,3523107,Itaquaquecetuba,35,SP,C,C,C,B,3,A,A,A,B,B,A,A,B,A,B,B,A,B,A,B,A,B,A
210062119821,2024,3,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,C,2,A,E,A,B,C,B,B,B,A,B,B,A,B,A,B,B,B,A
210062120169,2024,2,F,1,1,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,H,E,D,B,4,A,G,A,B,C,B,A,B,A,B,B,B,D,A,B,B,D,A
210062120377,2024,3,M,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,C,H,F,F,7,A,B,A,B,C,A,A,B,A,A,B,A,B,A,B,A,B,A
210062123281,2024,3,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,D,F,B,5,A,E,A,B,C,B,A,B,A,B,B,A,C,B,B,A,D,A
210062124520,2024,6,F,1,1,1,1,4,,0,3523107,Itaquaquecetuba,35,SP,D,C,C,B,4,A,E,A,B,B,B,A,B,A,B,B,A,B,B,B,C,E,A
210062124591,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,E,F,C,4,B,C,A,B,C,A,B,B,B,B,B,B,B,A,B,B,E,A
210062127781,2024,4,F,1,2,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,E,E,C,B,3,B,B,A,B,C,B,A,B,A,B,A,A,B,A,B,B,C,E
210062128015,2024,3,F,1,1,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,C,3,A,C,A,B,D,B,A,B,B,B,B,B,C,A,B,B,D,A
210062129443,2024,3,M,0,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,F,F,2,A,B,A,B,C,A,A,B,A,A,A,A,A,A,A,A,A,A
210062130594,2024,8,F,1,1,1,1,6,,0,3523107,Itaquaquecetuba,35,SP,E,B,C,B,3,A,D,A,D,D,B,A,B,A,B,B,B,B,A,B,B,D,D
210062131288,2024,5,F,1,3,1,1,2,,0,3523107,Itaquaquecetuba,35,SP,E,C,C,B,4,A,B,A,B,B,A,A,B,B,B,B,A,B,A,B,A,D,A
210062131714,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,G,C,D,3,A,D,A,B,C,B,B,B,A,B,B,A,B,A,B,B,D,A
210062131948,2024,2,F,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,G,C,D,5,A,E,A,C,D,C,A,B,A,B,B,A,B,B,B,B,E,A
210062132356,2024,2,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,H,H,C,B,5,A,C,A,C,D,C,A,B,A,B,B,B,C,B,B,B,E,A
210062132432,2024,4,M,1,3,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,B,B,C,C,5,A,C,A,C,D,C,A,C,B,B,B,A,C,A,B,B,D,A
210062132642,2024,4,M,1,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,D,D,C,B,4,A,D,A,B,C,B,A,B,A,B,B,A,B,A,B,B,D,A
210062132981,2024,1,M,1,3,1,3,0,,1,3523107,Itaquaquecetuba,35,SP,E,E,C,B,3,A,H,A,B,C,B,A,B,A,B,B,B,B,A,B,B,D,A
210062135556,2024,13,M,2,3,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,E,B,F,B,4,A,C,A,B,C,A,A,B,A,B,A,A,B,A,B,A,C,A
210062137419,2024,15,M,1,1,1,1,0,,0,3523107,Itaquaquecetuba,35,SP,B,A,B,B,1,A,A,A,B,B,A,A,B,A,B,B,A,B,A,B,A,B,A
210062138957,2024,3,M,0,3,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,E,E,C,D,5,A,C,A,B,B,B,A,B,A,B,A,A,B,A,B,B,D,A
210062139775,2024,3,F,1,2,1,2,0,1,0,3523107,Itaquaquecetuba,35,SP,B,D,F,C,4,A,B,A,B,B,A,A,B,A,A,A,A,B,A,A,A,B,A
210062140072,2024,16,M,1,3,1,1,18,,0,3523107,Itaquaquecetuba,35,SP,E,B,C,F,4,B,C,A,C,D,A,A,B,A,B,A,B,C,B,B,C,D,A
210062140661,2024,3,F,1,1,1,1,1,,0,3523107,Itaquaquecetuba,35,SP,F,E,D,B,2,A,C,A,B,C,A,A,B,B,B,B,A,B,A,B,C,C,A
